Ay,Gercek_Borsa_Ort,Prophet_Tahmin_Ort,Prophet_En_Dusuk,Prophet_En_Yuksek
2025-01,9658.72,9581.79,9066.25,10047.63
2025-02,9659.48,9474.21,8984.29,9973.3
2025-03,9078.43,10443.4,9926.22,10932.09
2025-04,9019.57,9967.82,9434.74,10474.78
2025-05,9948.51,9775.47,9239.49,10268.46
2025-06,10743.2,11197.79,10627.35,11718.06
2025-07,11288.05,9940.14,9381.38,10509.27
2025-08,11012.12,9623.41,9053.61,10196.57
2025-09,10971.52,9594.47,8968.17,10236.55
2025-10,10898.7,11350.06,10704.64,12016.24
2025-11,11261.52,11173.01,10414.06,11920.19
